                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.322,                 1.6461,                0.95851,                0.31563,                0.23806,                0.21902,                 0.1245,                 1.2771,                 1.1779,                0.91342,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.3253,                 1.2525,                0.93312,                0.34722,                0.27196,                0.24752,                0.13937,                 1.3108,                 1.1649,                0.91592,              0.0066145,              0.0066145,              0.0066145
                      3,                 1.3584,                 1.2232,                0.93525,                0.36263,                0.27059,                0.25734,                0.14975,                  1.252,                 1.1334,                0.90643,              0.0098599,              0.0098599,              0.0098599
                      4,                  1.356,                 1.1918,                0.93448,                0.38324,                0.28171,                0.27412,                0.15454,                  1.287,                 1.1092,                0.91127,               0.009802,               0.009802,               0.009802
                      5,                 1.3301,                 1.1447,                0.92682,                0.39273,                0.29224,                0.28084,                0.15637,                  1.286,                 1.0952,                0.90977,               0.009802,               0.009802,               0.009802
                      6,                 1.3137,                 1.1072,                0.92111,                 0.3792,                0.29233,                0.28138,                0.16343,                 1.2574,                  1.084,                0.90488,               0.009736,               0.009736,               0.009736
                      7,                 1.2975,                 1.0943,                0.91981,                0.42461,                 0.3133,                0.30546,                0.17576,                 1.2388,                 1.0416,                0.90281,                0.00967,                0.00967,                0.00967
                      8,                 1.2865,                 1.0714,                0.91719,                0.41223,                0.31138,                0.30476,                  0.178,                 1.2308,                 1.0252,                0.89919,               0.009604,               0.009604,               0.009604
                      9,                 1.2703,                 1.0488,                0.91082,                0.41807,                0.32152,                0.31138,                0.18077,                 1.2196,                 1.0216,                0.89551,               0.009538,               0.009538,               0.009538
                     10,                 1.2602,                 1.0345,                0.90927,                 0.4315,                 0.3153,                0.31544,                0.18251,                 1.2187,                 1.0206,                0.89764,               0.009472,               0.009472,               0.009472
                     11,                 1.2536,                 1.0187,                 0.9048,                0.42552,                0.32432,                0.31957,                0.18489,                 1.2187,                 1.0082,                0.89193,               0.009406,               0.009406,               0.009406
                     12,                 1.2523,                 1.0067,                0.90664,                0.44943,                0.32635,                0.32937,                0.19124,                 1.1947,                0.99452,                 0.8935,                0.00934,                0.00934,                0.00934
                     13,                 1.2479,                0.99784,                0.90453,                0.44831,                0.33681,                0.33335,                0.19425,                 1.2006,                0.97733,                0.89194,               0.009274,               0.009274,               0.009274
                     14,                 1.2348,                0.98598,                0.90107,                0.43592,                0.33412,                0.33031,                0.19338,                 1.1915,                0.98751,                0.88779,               0.009208,               0.009208,               0.009208
                     15,                 1.2316,                0.97497,                0.90031,                0.44347,                0.34609,                0.33973,                0.20035,                 1.1804,                0.96374,                0.88716,               0.009142,               0.009142,               0.009142
                     16,                 1.2231,                0.96869,                0.89761,                0.43361,                0.34323,                0.33233,                0.19487,                  1.193,                  0.971,                0.88992,               0.009076,               0.009076,               0.009076
                     17,                 1.2154,                0.95809,                0.89593,                0.45443,                0.33809,                0.34384,                0.20338,                 1.1764,                0.95853,                0.88764,                0.00901,                0.00901,                0.00901
                     18,                 1.2263,                0.95192,                0.89662,                0.44031,                0.34547,                0.34052,                0.20028,                 1.1782,                 0.9558,                 0.8848,               0.008944,               0.008944,               0.008944
                     19,                 1.2073,                0.94238,                 0.8943,                0.46489,                0.34558,                0.34714,                0.20288,                 1.1786,                0.95321,                0.88468,               0.008878,               0.008878,               0.008878
                     20,                 1.2118,                0.93787,                0.89407,                0.47856,                0.34713,                0.35022,                0.20614,                 1.1709,                0.94792,                0.88392,               0.008812,               0.008812,               0.008812
                     21,                 1.2101,                0.93781,                0.89354,                 0.4636,                0.34108,                0.35261,                0.20247,                 1.1748,                0.96031,                 0.8847,               0.008746,               0.008746,               0.008746
                     22,                 1.1971,                0.92346,                0.89178,                0.46445,                0.35047,                0.35144,                0.20549,                 1.1762,                0.94918,                0.88292,                0.00868,                0.00868,                0.00868
                     23,                 1.1957,                0.92121,                0.89181,                0.46516,                0.35698,                0.36011,                0.21329,                  1.163,                0.93109,                 0.8799,               0.008614,               0.008614,               0.008614
                     24,                 1.1951,                0.91589,                0.89025,                0.47044,                 0.3489,                0.34887,                0.20858,                  1.171,                0.95133,                0.88175,               0.008548,               0.008548,               0.008548
                     25,                 1.1854,                0.90406,                0.88904,                0.48814,                0.35051,                0.36354,                0.21539,                 1.1618,                0.92023,                0.88179,               0.008482,               0.008482,               0.008482
                     26,                 1.1881,                0.90222,                0.88718,                0.47699,                0.35112,                0.35588,                0.21186,                 1.1552,                0.92919,                0.87817,               0.008416,               0.008416,               0.008416
                     27,                 1.1906,                0.90269,                 0.8886,                0.48174,                0.36606,                0.36658,                0.21714,                 1.1624,                0.92439,                0.88069,                0.00835,                0.00835,                0.00835
                     28,                 1.1792,                0.89219,                0.88615,                0.46674,                0.35613,                0.36267,                0.21468,                 1.1623,                0.92328,                0.87996,               0.008284,               0.008284,               0.008284
                     29,                 1.1824,                0.89415,                0.88564,                0.47701,                0.36748,                0.37063,                 0.2184,                 1.1644,                0.91745,                0.87892,               0.008218,               0.008218,               0.008218
                     30,                 1.1726,                0.88469,                0.88539,                0.49315,                0.36064,                0.36767,                0.21853,                 1.1522,                0.91529,                0.87782,               0.008152,               0.008152,               0.008152
                     31,                 1.1729,                0.88418,                 0.8845,                0.49724,                0.35721,                0.37236,                0.22112,                 1.1523,                0.90958,                0.87825,               0.008086,               0.008086,               0.008086
