                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2728,                 1.6801,                0.96081,                0.30927,                0.24227,                0.21214,                0.12123,                 1.2214,                 1.1962,                0.91373,              0.0033251,              0.0033251,              0.0033251
                      2,                 1.2626,                 1.2507,                0.93128,                0.34957,                0.25822,                0.23663,                0.13465,                 1.2154,                 1.1804,                 0.9074,              0.0066145,              0.0066145,              0.0066145
                      3,                  1.291,                 1.2361,                0.93495,                 0.3522,                0.26545,                0.24931,                0.14392,                 1.2246,                 1.1642,                0.91566,              0.0098599,              0.0098599,              0.0098599
                      4,                 1.2948,                 1.2041,                0.93467,                0.34731,                0.27649,                0.25665,                0.14774,                 1.2252,                 1.1382,                0.91048,               0.009802,               0.009802,               0.009802
                      5,                 1.2696,                 1.1562,                0.92713,                0.40166,                0.28348,                   0.28,                0.16203,                 1.2067,                 1.0788,                 0.9065,               0.009802,               0.009802,               0.009802
                      6,                 1.2536,                 1.1235,                0.92062,                0.38545,                0.29854,                0.28829,                0.16834,                 1.1719,                 1.0579,                0.90132,               0.009736,               0.009736,               0.009736
                      7,                 1.2361,                  1.093,                0.91687,                0.41371,                  0.304,                0.30056,                0.17418,                 1.1772,                 1.0604,                0.89991,                0.00967,                0.00967,                0.00967
                      8,                  1.229,                 1.0722,                0.91414,                 0.4115,                 0.3185,                0.30559,                 0.1761,                 1.1798,                 1.0389,                0.89621,               0.009604,               0.009604,               0.009604
                      9,                 1.2097,                 1.0591,                0.90989,                0.41892,                0.31092,                0.31055,                0.18017,                  1.168,                   1.02,                0.89902,               0.009538,               0.009538,               0.009538
                     10,                 1.2016,                 1.0382,                0.90801,                0.41842,                0.32608,                0.31146,                 0.1828,                 1.1566,                 1.0181,                0.89506,               0.009472,               0.009472,               0.009472
                     11,                  1.202,                 1.0343,                0.90788,                0.43842,                0.32479,                0.32214,                0.18848,                 1.1442,                 1.0086,                  0.892,               0.009406,               0.009406,               0.009406
                     12,                 1.1833,                 1.0098,                0.90562,                0.43007,                0.33126,                0.32584,                0.19171,                 1.1412,                0.98684,                 0.8866,                0.00934,                0.00934,                0.00934
                     13,                 1.1867,                 1.0073,                0.90277,                0.43994,                0.33675,                0.33415,                 0.1967,                 1.1366,                0.97642,                0.88845,               0.009274,               0.009274,               0.009274
                     14,                 1.1823,                0.99783,                0.90109,                0.45007,                0.33618,                0.33746,                0.19805,                 1.1304,                0.97835,                0.88573,               0.009208,               0.009208,               0.009208
                     15,                 1.1739,                  0.984,                0.89905,                 0.4363,                0.32985,                0.33098,                0.19498,                 1.1341,                0.98369,                0.88785,               0.009142,               0.009142,               0.009142
                     16,                 1.1678,                0.97636,                 0.8988,                0.45973,                0.33164,                0.33932,                0.20168,                 1.1331,                 0.9643,                0.88678,               0.009076,               0.009076,               0.009076
                     17,                 1.1684,                0.97287,                0.89815,                0.45405,                0.34563,                0.34439,                0.20165,                 1.1337,                0.96096,                0.88571,                0.00901,                0.00901,                0.00901
                     18,                  1.164,                0.96566,                 0.8952,                0.44632,                0.34572,                0.34342,                0.20318,                 1.1258,                0.96171,                0.88567,               0.008944,               0.008944,               0.008944
                     19,                 1.1604,                0.95188,                 0.8945,                0.46041,                0.34753,                0.35052,                0.20685,                 1.1247,                0.95017,                0.88359,               0.008878,               0.008878,               0.008878
                     20,                 1.1534,                0.94061,                0.89462,                0.45506,                0.34883,                0.35264,                 0.2087,                 1.1168,                0.93617,                0.88209,               0.008812,               0.008812,               0.008812
                     21,                 1.1507,                 0.9383,                0.89239,                0.47091,                0.34676,                0.35221,                 0.2071,                 1.1148,                0.94221,                0.88072,               0.008746,               0.008746,               0.008746
                     22,                 1.1493,                0.93696,                0.89163,                0.46293,                0.34676,                0.34986,                0.20683,                 1.1129,                0.94493,                0.88113,                0.00868,                0.00868,                0.00868
                     23,                 1.1396,                0.92626,                 0.8891,                0.47751,                0.35303,                0.36005,                0.21164,                 1.1127,                0.93049,                0.88132,               0.008614,               0.008614,               0.008614
                     24,                 1.1421,                0.92554,                0.89046,                0.48518,                0.33766,                0.35692,                0.21224,                 1.1129,                0.93557,                0.88046,               0.008548,               0.008548,               0.008548
                     25,                 1.1356,                0.91593,                0.88918,                0.47566,                0.35149,                0.35936,                 0.2125,                 1.1101,                0.93319,                0.88035,               0.008482,               0.008482,               0.008482
                     26,                 1.1367,                0.91472,                0.88854,                0.49478,                0.34619,                0.36289,                0.21733,                 1.1062,                0.92174,                0.87626,               0.008416,               0.008416,               0.008416
                     27,                  1.129,                0.90833,                0.88736,                0.47409,                0.36317,                0.36743,                0.21806,                 1.1075,                0.92647,                0.87686,                0.00835,                0.00835,                0.00835
                     28,                 1.1271,                0.90416,                0.88623,                 0.4871,                0.35545,                0.36545,                0.21858,                 1.1003,                0.92162,                 0.8786,               0.008284,               0.008284,               0.008284
                     29,                 1.1279,                0.90212,                0.88636,                0.49278,                 0.3488,                0.36828,                0.21968,                 1.0976,                0.91958,                0.87748,               0.008218,               0.008218,               0.008218
                     30,                 1.1217,                0.89098,                 0.8841,                 0.4752,                0.35076,                0.36483,                0.21612,                 1.1024,                0.92736,                0.87759,               0.008152,               0.008152,               0.008152
                     31,                 1.1239,                0.89489,                 0.8848,                0.48932,                0.35258,                 0.3725,                0.22085,                 1.1016,                0.91193,                0.87809,               0.008086,               0.008086,               0.008086
                     32,                 1.1219,                0.88501,                0.88329,                 0.4776,                0.35028,                0.36876,                0.21843,                 1.1051,                0.91362,                0.87697,                0.00802,                0.00802,                0.00802
                     33,                 1.1205,                0.88566,                0.88475,                0.47877,                 0.3606,                0.37004,                0.22023,                 1.0963,                0.91133,                0.87495,               0.007954,               0.007954,               0.007954
                     34,                 1.1185,                0.87616,                 0.8831,                0.48393,                 0.3635,                0.37877,                 0.2256,                 1.0909,                0.90068,                0.87565,               0.007888,               0.007888,               0.007888
                     35,                 1.1124,                0.87432,                0.88139,                0.49893,                0.36241,                   0.38,                0.22704,                 1.1022,                0.90863,                0.87521,               0.007822,               0.007822,               0.007822
                     36,                 1.1161,                0.86989,                0.88194,                0.48442,                0.36529,                0.37055,                0.21964,                 1.0997,                0.91124,                  0.876,               0.007756,               0.007756,               0.007756
                     37,                 1.1118,                0.86825,                0.88074,                0.48982,                0.36698,                0.37556,                0.22514,                 1.0932,                0.90128,                0.87426,                0.00769,                0.00769,                0.00769
                     38,                 1.1045,                0.85964,                0.87968,                0.49402,                0.36453,                 0.3792,                0.22578,                 1.0937,                0.89952,                0.87455,               0.007624,               0.007624,               0.007624
                     39,                 1.1064,                 0.8568,                0.88103,                0.49317,                0.36867,                0.37695,                0.22386,                 1.0933,                0.90439,                0.87406,               0.007558,               0.007558,               0.007558
                     40,                 1.1012,                0.85676,                0.87904,                0.49982,                0.35649,                0.37621,                0.22455,                 1.0919,                0.90431,                0.87319,               0.007492,               0.007492,               0.007492
                     41,                 1.1073,                0.85713,                0.87971,                 0.4776,                0.36298,                0.37717,                0.22477,                 1.0933,                0.90376,                0.87363,               0.007426,               0.007426,               0.007426
                     42,                 1.1009,                0.84764,                0.87888,                0.49284,                0.36674,                0.38009,                0.22677,                 1.0954,                0.90007,                 0.8747,                0.00736,                0.00736,                0.00736
                     43,                 1.1011,                0.84815,                0.87864,                 0.4919,                0.36332,                0.38463,                0.22952,                 1.0884,                0.89148,                0.87348,               0.007294,               0.007294,               0.007294
